MH4=50:
#sinp expm2 expm1 exp expp1 expp2 obs
0.1 2449.48571228 3265.80505672 4560.46537449 6451.1390727 8797.72738862 4566.269843
0.2 610.957658534 814.566339653 1137.48418007 1609.06136459 2194.35406332 1138.93194703
0.3 285.702515028 380.916170941 531.922444232 752.446380326 1026.14717402 532.59946441
0.4 151.605843677 202.13023837 282.260556651 399.279888382 544.517110879 282.619812205
0.5 97.6859630956 130.240936148 181.872239563 257.272671655 350.855066719 182.103722888
0.7 50.0233969581 66.6942705242 93.1338233973 131.745161463 179.667187803 93.2523622526
0.8 36.9682076235 49.2882888802 68.8276032715 97.3620901124 132.777346317 68.9152056593
0.9 33.7395031103 44.9835813764 62.8163842375 88.8587452121 121.180927533 62.8963356667

MH4=100:
#sinp expm2 expm1 exp expp1 expp2 obs
0.1 3477.55560647 4546.1608115 6269.26991671 8743.13349567 11847.3264122 6271.50830215
0.2 849.812824728 1110.94866569 1532.02610678 2136.56597154 2895.13988074 1532.57310268
0.3 385.163651051 503.519165348 694.365572776 968.363298794 1312.17441573 694.613489647
0.4 218.8052052 286.041047735 394.457787541 550.111438922 745.424942122 394.598625083
0.5 139.107691609 181.853579852 250.780653101 349.739085623 473.911682639 250.870192038
0.7 75.5027869277 98.7037591724 136.114962427 189.826136547 257.222676784 136.163561029
0.8 55.6067596156 72.6939551875 100.246789606 139.804327406 189.440948309 100.282581804
0.9 47.5974864392 62.2235420687 85.8078269947 119.667727878 162.154979548 85.8384638938

MH4=350:
#sinp expm2 expm1 exp expp1 expp2 obs
0.1 46432.4065903 53730.0840106 65492.2961669 82460.018838 103879.82287 65442.4826691
0.2 11595.7720215 13418.2535568 16355.683267 20593.1083386 25942.3715481 16343.24312
0.3 5556.56227453 6429.87473071 7837.45769123 9867.98366657 12431.289852 7831.49651406
0.4 3197.35359693 3699.87450555 4509.82501442 5678.22900418 7153.20504997 4506.39483757
0.5 2019.192594 2336.54457471 2848.04448218 3585.91491515 4517.3917186 2845.87825706
0.7 1267.32317651 1466.50552368 1787.54260031 2250.65855256 2835.28933266 1786.18299384
0.8 1058.97849412 1225.41577387 1493.67517784 1880.6560544 2369.17503251 1492.5390872
0.9 1251.34085095 1448.01129178 1764.99974122 2222.27529692 2799.53324613 1763.65728087

MH4=500:
#sinp expm2 expm1 exp expp1 expp2 obs
0.1 42389.8908346 52205.7059818 68034.271602 91093.1696659 120044.563193 68004.2078496
0.2 10684.2594876 13158.3096455 17147.8576031 22959.7916648 30256.9135702 17140.2801141
0.3 5084.56507977 6261.94841207 8160.5466493 10926.4058097 14399.055577 8156.94057478
0.4 3194.00273855 3933.60691879 5126.26113287 6863.70801263 9045.14392556 5123.9958827
0.5 2291.26935287 2821.83633422 3677.40606066 4923.79158807 6488.67980567 3675.78104694
0.7 1739.35915083 2142.12564924 2791.60975769 3737.77179222 4925.7170846 2790.37616964
0.8 1613.40402378 1987.00431723 2589.45624526 3467.10226387 4569.02288436 2588.31198708
0.9 2728.90525241 3360.81132681 4379.79616043 5864.24320199 7728.02742757 4377.86076663

