MH4=50:
#tanB expm2 expm1 exp expp1 expp2 obs
1.0 47.9929394288 63.9871396219 89.3535068965 126.397604693 172.374468468 89.4672342411
3.0 4.758537896 6.34437549297 8.85947086734 12.5324224575 17.0910648581 8.87074702349
5.0 1.85779370833 2.47692487308 3.45885009139 4.89281710064 6.67256906551 3.46325244615
10.0 0.469547247342 0.626029279147 0.874205533208 1.23663288935 1.68645551084 0.87531820441
15.0 0.23570997667 0.314263043002 0.43884607354 0.620782490259 0.846590819913 0.439404627987
20.0 0.153854317424 0.205128041908 0.286446776893 0.405201628105 0.552592871014 0.286811360583
25.0 0.115876712565 0.15449396253 0.215739872542 0.305181117936 0.416190109917 0.216014461908
30.0 0.0978661363424 0.130481154206 0.182207687061 0.25774718868 0.351502188317 0.182439597337
35.0 0.0862812408309 0.115035458747 0.160638867704 0.227236387285 0.309893146866 0.16084332562
40.0 0.0725385650833 0.0967128779191 0.135052681761 0.191042703022 0.260534085815 0.135224574095
45.0 0.0689060753954 0.0918698191776 0.128289693366 0.181475920885 0.247487406728 0.128452977905
50.0 0.0649416821961 0.0865842462542 0.120908765269 0.171035014151 0.233248642054 0.121062655511

MH4=100:
#tanB expm2 expm1 exp expp1 expp2 obs
1.0 72.3567672553 94.5910107463 130.443379074 181.916537654 246.504826036 130.489952688
3.0 6.61063680645 8.64199494972 11.9175280429 16.6202029905 22.5210984096 11.9217830872
5.0 2.45547922795 3.21001436146 4.42669041043 6.17346927418 8.3653195531 4.42827091972
10.0 0.664334534525 0.868475437449 1.19764943634 1.67024375119 2.26325297653 1.19807704611
15.0 0.351849630975 0.459968203212 0.634307702391 0.884606500121 1.1986803082 0.634534176149
20.0 0.213037217647 0.278500636613 0.384059371258 0.535609791536 0.725774578761 0.384196496141
25.0 0.170921063026 0.223442764551 0.308133183138 0.429723012475 0.582293384646 0.308243199271
30.0 0.138966130577 0.181668519054 0.250525449614 0.349383178446 0.473429412923 0.250614897432
35.0 0.116771749532 0.152654108715 0.210513849183 0.29358293877 0.397817659581 0.210589011225
40.0 0.105867996977 0.138399782351 0.190856775189 0.266169153059 0.360670786818 0.190924918853
45.0 0.0977921798062 0.12784237718 0.176297848353 0.245865251238 0.333158116168 0.176360793886
50.0 0.0968353031095 0.126591465381 0.174572809571 0.243459509491 0.329898231397 0.174635139194

MH4=350:
#tanB expm2 expm1 exp expp1 expp2 obs
1.0 1192.31149373 1379.70442261 1681.73961258 2117.44416138 2667.47118812 1680.46047996
3.0 122.126446001 141.32078618 172.257738908 216.886217566 273.224553927 172.126719521
5.0 40.180122456 46.4951423727 56.6735319824 71.3564921128 89.8920454518 56.6304260444
10.0 10.9580368098 12.6802869293 15.4561661748 19.4605446523 24.5156132625 15.4444102013
15.0 5.70099949737 6.5970128286 8.04118448617 10.1244919329 12.754428673 8.03506835422
20.0 3.6736038946 4.25097599658 5.18156976846 6.5240091694 8.21868496361 5.17762866196
25.0 2.9653678163 3.431428039 4.18261213515 5.26624191917 6.63420025202 4.1794308367
30.0 2.30832440327 2.67111858332 3.25586108 4.09938850376 5.16424514145 3.25338466922
35.0 1.95961192456 2.26759974481 2.76400673496 3.48010469586 4.38409625017 2.76190442902
40.0 1.96108555576 2.26930498332 2.76608527229 3.48272173997 4.38739309732 2.76398138541
45.0 1.70885005025 1.97742618795 2.41031042356 3.03477285978 3.82308507285 2.40847713934
50.0 1.59266984285 1.84298619739 2.24643977566 2.82844665802 3.5631636031 2.2447311316

MH4=500:
#tanB expm2 expm1 exp expp1 expp2 obs
1.0 1738.90614357 2141.56774348 2790.88269709 3736.79830852 4924.43420657 2789.64943032
3.0 104.888461976 129.176463987 168.342262022 225.398609778 297.035197638 168.267873042
5.0 34.1449182546 42.0515252121 54.8013829859 73.3752498662 96.6955025464 54.7771667318
10.0 8.90763822393 10.9702934581 14.2964434757 19.1419459706 25.2256733533 14.2901260018
15.0 4.57129539138 5.62982584903 7.33676700049 9.82342201127 12.945519502 7.33352494703
20.0 3.01163463456 3.7090096049 4.83356679291 6.47181059767 8.52869297574 4.83143088182
25.0 2.12545089534 2.61762090763 3.41127331642 4.567458307 6.01909604616 3.40976590444
30.0 1.84858016449 2.27663791179 2.96690561151 3.972480779 5.23502169985 2.96559456175
35.0 1.58211924261 1.94847522325 2.53924528087 3.39987326603 4.48042704662 2.53812321048
40.0 1.57103727666 1.93482711413 2.5214591185 3.37605882856 4.4490438622 2.52034490766
45.0 1.44038162373 1.77391680114 2.31176142873 3.09528817015 4.07903817274 2.31073988148
50.0 1.42390059459 1.75361942021 2.28530996138 3.05987149049 4.03236530084 2.2843001028

