#run_name            higgs#5              mass#55              width#25             width#35             width#36             width#37             width#55             cross(pb)            error(pb)            
run_01               1.000000e-01         5.000000e+01         1.765332e-01         1.151283e+01         3.511885e+01         4.766262e+01         1.967989e+00         6.938352e-02         2.267915e-03         
run_02               1.000000e-01         1.000000e+02         6.530420e-03         1.147783e+01         3.488244e+01         4.761227e+01         3.938342e+00         1.109330e-02         4.493603e-04         
run_03               1.000000e-01         3.500000e+02         6.530420e-03         1.118114e+01         3.177653e+01         4.703201e+01         1.382432e+01         1.753996e-04         6.538250e-06         
run_04               1.000000e-01         4.000000e+02         6.530420e-03         1.115568e+01         3.087949e+01         4.690304e+01         1.587522e+01         9.155644e-05         8.314192e-06         
run_05               1.000000e-01         5.000000e+02         6.530420e-03         1.115437e+01         2.875185e+01         4.669878e+01         1.990686e+01         4.347174e-05         2.061051e-06         
run_06               2.000000e-01         5.000000e+01         2.731011e+00         1.258819e+01         5.330026e+01         5.084427e+01         1.908420e+00         2.781763e-01         8.649374e-03         
run_07               2.000000e-01         1.000000e+02         6.575065e-03         1.244822e+01         5.238328e+01         5.064287e+01         3.819136e+00         4.539537e-02         2.030378e-03         
run_08               2.000000e-01         3.500000e+02         6.530420e-03         1.126145e+01         4.033612e+01         4.832181e+01         1.351979e+01         7.023444e-04         2.756905e-05         
run_09               2.000000e-01         4.000000e+02         6.530420e-03         1.115959e+01         3.685667e+01         4.780594e+01         1.575501e+01         3.804194e-04         2.028247e-05         
run_10               2.000000e-01         5.000000e+02         6.530420e-03         1.115437e+01         2.860401e+01         4.698890e+01         1.994481e+01         1.724745e-04         7.009265e-06         
run_11               3.000000e-01         5.000000e+01         1.380279e+01         1.438045e+01         8.103009e+01         5.614702e+01         1.809140e+00         5.948633e-01         2.256123e-02         
run_12               3.000000e-01         1.000000e+02         6.732722e-03         1.406553e+01         7.907435e+01         5.569387e+01         3.620459e+00         1.001589e-01         4.570587e-03         
run_13               3.000000e-01         3.500000e+02         6.530420e-03         1.139529e+01         5.338000e+01         5.047149e+01         1.301223e+01         1.465695e-03         7.052713e-05         
run_14               3.000000e-01         4.000000e+02         6.530420e-03         1.116610e+01         4.595899e+01         4.931078e+01         1.555465e+01         8.362956e-04         4.085802e-05         
run_15               3.000000e-01         5.000000e+02         6.531777e-03         1.115437e+01         2.898900e+01         4.747244e+01         2.000805e+01         3.624228e-04         1.628970e-05         
run_16               4.000000e-01         5.000000e+01         4.361143e+01         1.688962e+01         1.144495e+02         6.357087e+01         1.670148e+00         1.121025e+00         5.016238e-02         
run_17               4.000000e-01         1.000000e+02         7.115512e-03         1.632976e+01         1.112401e+02         6.276527e+01         3.342311e+00         1.763101e-01         6.341976e-03         
run_18               4.000000e-01         3.500000e+02         6.530420e-03         1.158268e+01         6.907503e+01         5.348103e+01         1.230166e+01         2.547177e-03         9.465630e-05         
run_19               4.000000e-01         4.000000e+02         6.530420e-03         1.117522e+01         5.689696e+01         5.141755e+01         1.527414e+01         1.407363e-03         5.284561e-05         
run_20               4.000000e-01         5.000000e+02         6.531777e-03         1.115437e+01         2.903349e+01         4.814939e+01         2.009660e+01         5.769445e-04         2.278572e-05         
run_21               5.000000e-01         5.000000e+01         1.064651e+02         2.011570e+01         1.481563e+02         7.311582e+01         1.491443e+00         1.739799e+00         6.979047e-02         
run_22               5.000000e-01         1.000000e+02         7.804932e-03         1.924091e+01         1.436789e+02         7.185707e+01         2.984693e+00         2.773216e-01         1.279771e-02         
run_23               5.000000e-01         3.500000e+02         6.530420e-03         1.182360e+01         8.485481e+01         5.735045e+01         1.138807e+01         4.033407e-03         2.012803e-04         
run_24               5.000000e-01         4.000000e+02         6.530420e-03         1.118695e+01         6.786532e+01         5.412626e+01         1.491350e+01         2.058417e-03         9.203671e-05         
run_25               5.000000e-01         5.000000e+02         6.531930e-03         1.115437e+01         2.896384e+01         4.901976e+01         2.022735e+01         8.042539e-04         3.437103e-05         
run_26               7.000000e-01         5.000000e+01         4.089801e+02         2.871857e+01         1.871050e+02         9.856902e+01         1.014898e+00         3.397489e+00         1.328162e-01         
run_27               7.000000e-01         1.000000e+02         9.854699e-03         2.700398e+01         1.811375e+02         9.610186e+01         2.031043e+00         5.109423e-01         3.114187e-02         
run_28               7.000000e-01         3.500000e+02         6.534192e-03         1.246605e+01         1.027368e+02         6.766889e+01         8.958865e+00         6.426321e-03         2.864792e-04         
run_29               7.000000e-01         4.000000e+02         6.534192e-03         1.121823e+01         8.009317e+01         6.134949e+01         1.396611e+01         2.764609e-03         1.053324e-04         
run_30               7.000000e-01         5.000000e+02         6.531930e-03         1.115437e+01         2.812695e+01         5.134074e+01         2.055821e+01         1.059449e-03         5.049776e-05         
run_31               8.000000e-01         5.000000e+01         6.976981e+02         3.409537e+01         1.738247e+02         1.144773e+02         7.170572e-01         4.597300e+00         1.745402e-01         
run_32               8.000000e-01         1.000000e+02         1.046960e-02         3.185591e+01         1.683229e+02         1.112549e+02         1.435012e+00         6.937568e-01         2.951867e-02         
run_33               8.000000e-01         3.500000e+02         6.534192e-03         1.286758e+01         9.603985e+01         7.411792e+01         7.437665e+00         7.690643e-03         3.796567e-04         
run_34               8.000000e-01         4.000000e+02         6.534192e-03         1.123778e+01         7.516316e+01         6.586400e+01         1.336795e+01         2.639407e-03         1.087450e-04         
run_35               8.000000e-01         5.000000e+02         6.531930e-03         1.115437e+01         2.718239e+01         5.279135e+01         2.075698e+01         1.142158e-03         5.251511e-05         
run_36               9.000000e-01         5.000000e+01         1.117574e+03         4.018907e+01         1.237874e+02         1.325066e+02         3.795043e-01         5.037239e+00         1.861079e-01         
run_37               9.000000e-01         1.000000e+02         9.861340e-03         3.735475e+01         1.201123e+02         1.284282e+02         7.595100e-01         8.104959e-01         4.264872e-02         
run_38               9.000000e-01         3.500000e+02         6.534192e-03         1.332265e+01         7.182952e+01         8.142682e+01         5.710693e+00         6.508399e-03         2.954429e-04         
run_39               9.000000e-01         4.000000e+02         6.534192e-03         1.125993e+01         5.788455e+01         7.098045e+01         1.268406e+01         1.984716e-03         1.067376e-04         
run_40               9.000000e-01         5.000000e+02         6.531930e-03         1.115437e+01         2.578529e+01         5.443538e+01         2.096381e+01         6.752753e-04         2.412671e-05         
