#run_name             tan beta               MH4#55              width#25             width#35             width#36             width#37             width#55             cross(pb)            error(pb)            
run_01               1.000000e+00         5.000000e+01         4.258438e+02         2.907703e+01         1.871200e+02         9.962960e+01         9.950413e-01         3.541228e+00         1.363148e-01         
run_02               1.000000e+00         1.000000e+02         9.924399e-03         2.732746e+01         1.811501e+02         9.711209e+01         1.991306e+00         5.331577e-01         2.975402e-02         
run_03               1.000000e+00         3.500000e+02         6.534192e-03         1.249282e+01         1.027180e+02         6.809884e+01         8.857501e+00         6.830619e-03         3.241165e-04         
run_04               1.000000e+00         4.000000e+02         6.534192e-03         1.121953e+01         8.006538e+01         6.165046e+01         1.392634e+01         2.650379e-03         1.485137e-04         
run_05               1.000000e+00         5.000000e+02         6.531930e-03         1.115437e+01         2.807215e+01         5.143745e+01         2.057178e+01         1.059725e-03         4.369664e-05         
run_06               3.000000e+00         5.000000e+01         4.258438e+02         1.634649e+02         2.376409e+02         6.785940e+01         1.003999e+00         3.571558e+01         1.035218e+00         
run_07               3.000000e+00         1.000000e+02         9.882763e-03         1.543480e+02         1.919382e+02         6.534189e+01         2.009456e+00         5.835681e+00         1.846172e-01         
run_08               3.000000e+00         3.500000e+02         6.531088e-03         2.785164e+00         9.027894e+01         3.632865e+01         7.250749e+00         6.668683e-02         2.628177e-03         
run_09               3.000000e+00         4.000000e+02         6.531217e-03         1.506953e+00         6.749218e+01         2.988027e+01         8.714791e+00         3.944275e-02         1.315872e-03         
run_10               3.000000e+00         5.000000e+02         6.530476e-03         1.443271e+00         1.483264e+01         1.966725e+01         1.126874e+01         1.756878e-02         6.557542e-04         
run_11               5.000000e+00         5.000000e+01         4.258438e+02         4.835214e+02         3.782714e+02         6.575292e+01         1.021913e+00         9.148160e+01         3.268675e+00         
run_12               5.000000e+00         1.000000e+02         9.940669e-03         4.603142e+02         2.150292e+02         6.323541e+01         2.045754e+00         1.571081e+01         5.238111e-01         
run_13               5.000000e+00         3.500000e+02         6.526750e-03         2.370582e+00         8.947948e+01         3.422216e+01         7.244604e+00         2.026929e-01         7.352498e-03         
run_14               5.000000e+00         4.000000e+02         6.531088e-03         1.080497e+00         6.669272e+01         2.777378e+01         8.437911e+00         1.086346e-01         5.338011e-03         
run_15               5.000000e+00         5.000000e+02         6.530476e-03         1.016043e+00         1.399905e+01         1.756077e+01         1.069947e+01         5.396886e-02         2.534914e-03         
run_16               1.000000e+01         5.000000e+01         4.258438e+02         1.975571e+03         1.044513e+03         6.679769e+01         1.105888e+00         3.619528e+02         1.084280e+01         
run_17               1.000000e+01         1.000000e+02         1.026062e-02         1.901451e+03         2.973736e+02         6.428018e+01         2.215904e+00         5.806949e+01         2.023620e+00         
run_18               1.000000e+01         3.500000e+02         6.529684e-03         3.821811e+00         9.014269e+01         3.526693e+01         7.786077e+00         7.432194e-01         2.693033e-02         
run_19               1.000000e+01         4.000000e+02         6.528149e-03         2.459196e+00         6.730902e+01         2.881855e+01         8.944529e+00         3.931691e-01         2.168570e-02         
run_20               1.000000e+01         5.000000e+02         6.530476e-03         2.388513e+00         1.464890e+01         1.860554e+01         1.124186e+01         2.068744e-01         8.532183e-03         
run_21               1.500000e+01         5.000000e+01         4.258438e+02         4.463964e+03         2.155947e+03         7.013881e+01         1.245845e+00         7.210299e+02         2.248843e+01         
run_22               1.500000e+01         1.000000e+02         1.066253e-02         4.314117e+03         4.128442e+02         6.762130e+01         2.499487e+00         1.096422e+02         3.832657e+00         
run_23               1.500000e+01         3.500000e+02         6.529531e-03         6.824085e+00         9.205046e+01         3.860805e+01         8.773889e+00         1.428561e+00         6.005874e-02         
run_24               1.500000e+01         4.000000e+02         6.528149e-03         5.257139e+00         6.902325e+01         3.215967e+01         1.005238e+01         8.855559e-01         3.510648e-02         
run_25               1.500000e+01         5.000000e+02         6.528381e-03         5.173167e+00         1.642058e+01         2.194666e+01         1.261365e+01         4.031160e-01         1.359402e-02         
run_26               2.000000e+01         5.000000e+01         4.258438e+02         7.948368e+03         3.712089e+03         7.502636e+01         1.441786e+00         1.104642e+03         3.014163e+01         
run_27               2.000000e+01         1.000000e+02         1.123915e-02         7.829896e+03         5.824398e+02         7.250885e+01         2.896503e+00         1.810837e+02         6.363074e+00         
run_28               2.000000e+01         3.500000e+02         6.531563e-03         1.124263e+01         9.524360e+01         4.349560e+01         1.015936e+01         2.216958e+00         5.962724e-02         
run_29               2.000000e+01         4.000000e+02         6.528645e-03         9.256460e+00         7.163247e+01         3.704722e+01         1.163809e+01         1.166530e+00         5.349809e-02         
run_30               2.000000e+01         5.000000e+02         6.528678e-03         9.137226e+00         1.898749e+01         2.683420e+01         1.459462e+01         6.118811e-01         2.073787e-02         
run_31               2.500000e+01         5.000000e+01         4.258438e+02         1.243539e+04         5.712880e+03         8.136794e+01         1.693709e+00         1.466679e+03         4.690923e+01         
run_32               2.500000e+01         1.000000e+02         1.200633e-02         1.259913e+04         8.164643e+02         7.885043e+01         3.406953e+00         2.257040e+02         8.408865e+00         
run_33               2.500000e+01         3.500000e+02         6.530845e-03         1.721126e+01         9.999908e+01         4.983718e+01         1.195302e+01         2.746447e+00         9.801404e-02         
run_34               2.500000e+01         4.000000e+02         6.530677e-03         1.443503e+01         7.523267e+01         4.338881e+01         1.368624e+01         1.541584e+00         7.266872e-02         
run_35               2.500000e+01         5.000000e+02         6.528678e-03         1.425148e+01         2.231674e+01         3.317579e+01         1.715880e+01         8.669983e-01         2.831534e-02         
run_36               3.000000e+01         5.000000e+01         4.258438e+02         1.791766e+04         8.158307e+03         8.914077e+01         2.001615e+00         1.736596e+03         4.969922e+01         
run_37               3.000000e+01         1.000000e+02         1.294114e-02         1.911449e+04         1.122744e+03         8.662326e+01         4.030835e+00         2.776041e+02         1.054210e+01         
run_38               3.000000e+01         3.500000e+02         6.533441e-03         2.492414e+01         1.069531e+02         5.761001e+01         1.414644e+01         3.528198e+00         1.795599e-01         
run_39               3.000000e+01         4.000000e+02         6.527275e-03         2.080921e+01         7.989455e+01         5.116163e+01         1.617856e+01         2.095304e+00         8.340062e-02         
run_40               3.000000e+01         5.000000e+02         6.532550e-03         2.050714e+01         2.639123e+01         4.094861e+01         2.035899e+01         9.968528e-01         2.960253e-02         
run_41               3.500000e+01         5.000000e+01         4.258438e+02         2.439820e+04         1.104836e+04         9.833702e+01         2.365505e+00         1.969767e+03         5.478286e+01         
run_42               3.500000e+01         1.000000e+02         1.404687e-02         2.786990e+04         1.505111e+03         9.581951e+01         4.768151e+00         3.303673e+02         1.042432e+01         
run_43               3.500000e+01         3.500000e+02         6.533441e-03         3.461063e+01         1.164934e+02         6.680626e+01         1.673913e+01         4.156040e+00         1.446660e-01         
run_44               3.500000e+01         4.000000e+02         6.530448e-03         2.839923e+01         8.600600e+01         6.035788e+01         1.914302e+01         2.400775e+00         9.915132e-02         
run_45               3.500000e+01         5.000000e+02         6.529562e-03         2.790475e+01         3.123134e+01         5.014487e+01         2.408877e+01         1.164743e+00         3.816818e-02         
run_46               4.000000e+01         5.000000e+01         4.258438e+02         3.187575e+04         1.438305e+04         1.089534e+02         2.785377e+00         2.342946e+03         8.778469e+01         
run_47               4.000000e+01         1.000000e+02         1.523807e-02         4.069067e+04         1.969979e+03         1.064359e+02         5.618900e+00         3.643931e+02         1.236044e+01         
run_48               4.000000e+01         3.500000e+02         6.533441e-03         4.655264e+01         1.293891e+02         7.742268e+01         1.973097e+01         4.152917e+00         2.029742e-01         
run_49               4.000000e+01         4.000000e+02         6.528450e-03         3.725103e+01         9.360150e+01         7.097430e+01         2.256456e+01         2.759487e+00         1.040811e-01         
run_50               4.000000e+01         5.000000e+02         6.528248e-03         3.644211e+01         3.685515e+01         6.076128e+01         2.839272e+01         1.172959e+00         5.304175e-02         
run_51               4.500000e+01         5.000000e+01         4.258438e+02         4.035053e+04         1.816235e+04         1.209885e+02         3.261232e+00         2.466458e+03         7.311625e+01         
run_52               4.500000e+01         1.000000e+02         1.667476e-02         5.916931e+04         2.517689e+03         1.184709e+02         6.583083e+00         3.944852e+02         1.266310e+01         
run_53               4.500000e+01         3.500000e+02         6.533441e-03         6.107146e+01         1.464007e+02         8.945770e+01         2.312191e+01         4.765910e+00         1.995340e-01         
run_54               4.500000e+01         4.000000e+02         6.532621e-03         4.735854e+01         1.028801e+02         8.300932e+01         2.645217e+01         2.744704e+00         1.304446e-01         
run_55               4.500000e+01         5.000000e+02         6.529562e-03         4.611873e+01         4.320144e+01         7.279630e+01         3.323129e+01         1.279357e+00         4.099745e-02         
run_56               5.000000e+01         5.000000e+01         4.258438e+02         4.982215e+04         2.238629e+04         1.344413e+02         3.793071e+00         2.617024e+03         7.184640e+01         
run_57               5.000000e+01         1.000000e+02         1.838651e-02         8.627990e+04         3.121723e+03         1.319238e+02         7.660698e+00         3.983833e+02         1.519793e+01         
run_58               5.000000e+01         3.500000e+02         6.533441e-03         7.852896e+01         1.683028e+02         1.029105e+02         2.691180e+01         5.113568e+00         2.011426e-01         
run_59               5.000000e+01         4.000000e+02         6.532621e-03         5.877750e+01         1.142150e+02         9.646213e+01         3.078995e+01         3.052047e+00         1.023583e-01         
run_60               5.000000e+01         5.000000e+02         6.529133e-03         5.693437e+01         5.032309e+01         8.624911e+01         3.869759e+01         1.294165e+00         4.844593e-02         
